Variables,PR1,PR2,PR3,DR1,DR2,DR3,MR1,MR2,MR3
CONTROL,20.33,21.48,20.85,642.70,594.30,603.67,106.40,113.26,103.99
NHT0254b,-2.93,-1.31,-2.34,497.20,526.34,512.53,132.50,138.13,132.77
NGB00749,1.75,1.69,1.74,1052.40,1059.70,1029.26,93.00,90.50,85.92
NHT356b,-4.45,-1.82,-0.88,582.40,545.93,549.94,160.60,151.67,168.40
NHT0343a,9.11,9.59,8.76,350.70,374.33,363.21,230.50,226.70,237.14
NHT0216a,1.91,1.95,1.89,749.40,755.19,740.74,104.60,102.27,102.18
NHT0366,-0.30,-0.05,-0.24,374.80,356.03,381.00,196.10,208.53,195.82
NHT0355a,-7.04,-1.34,-1.18,353.00,353.82,332.06,398.90,367.27,416.24
NHT034a,12.12,11.52,12.54,871.00,850.51,819.58,103.80,110.73,108.64
NHT0347,-10.92,-11.43,-3.94,1162.00,1099.16,1165.73,199.30,209.93,213.56
NHT0339a,-16.09,-1.87,-14.17,424.40,447.64,440.64,314.20,305.47,310.67
NHT0259a ,-17.56,-12.12,-15.90,294.70,271.93,300.03,227.10,223.81,236.35
NGB00739,-0.13,-0.13,-0.03,698.30,666.36,748.54,176.00,176.83,175.70
NGB00711,3.93,3.75,4.06,210.70,217.59,223.25,221.30,223.21,235.37
NGB00733,-3.27,-0.82,-1.44,356.40,336.96,379.76,172.10,158.87,178.78
